video_id,timestamp,dimensions_height,dimensions_width,video_duration,view_count,likes_count,comments_count,popularity,alternative_medicine,climate_change,covid,election,gmo,health,russia_ukraine,vaccine,tempo,loudness,spec_centroid,brightness,saturation,entropy,warmness,shotc_ps,shotd_ps,facec_ps,faced_ps,face_age_avg,face_female,face_size,face_anger_avg,face_disgust_avg,face_fear_avg,face_happiness_avg,face_sadness_avg,face_surprise_avg,n_evaluation,predicted_msv,perceived_msv,perceived_msv_high_ss,perceived_msv_low_ss,perceived_msv_high_age,perceived_msv_low_age,engagement,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
650,2020-08-28T02:38:33Z,1334,750,14.733,181744,28175.0,315,popular,0,0,0,1,0,0,0,0,151.9990809,0.002796504,2173.48547,190.8392527,40.66243243,4.196180616,0.186469756,0.067874839,0.99776013,0.067874839,0.99776013,62.4,1.0,0.06265231,0.168066667,5.780933333,2.090666667,0.353066667,3.2852,25.81766667,8,3.013394234,2.617647059,2.602941176,2.632352941,2.602941176,2.632352941,21.0234,5_35,2.25,2.375,2.625,2.0,2.375,2.75,1.75,2.625,2.375,3.0,2.125,2.625,3.25,2.625,4.625,3.0,2.125
657,2022-09-06T19:09:30Z,1333,750,18.333,157540,4770.0,28,popular,0,0,0,0,0,1,0,0,161.4990234,0.149342775,2141.826709,158.9729285,99.8251087,7.471114144,0.422758754,0.927289587,0.057006392,0.0,0.0,,,,,,,,,,8,3.841440765,3.132352941,3.441176471,2.823529412,3.470588235,2.929411765,16.2338,5_41,3.125,3.875,1.125,2.875,1.625,3.125,5.125,4.125,3.625,3.375,2.5,3.75,1.75,3.875,2.25,3.5,3.625
662,2021-09-17T00:13:05Z,1920,1080,15.0,99958,1997.0,55,popular,0,0,0,0,1,0,0,0,129.1992188,0.336372316,1393.610418,143.33098,53.04426667,7.581564108,0.238700767,0.066666667,0.997777733,0.0,0.0,,,,,,,,,,9,3.560767158,2.333333333,3.117647059,2.109243697,2.286764706,2.705882353,10.201,5_46,2.222222222,2.555555556,1.222222222,2.111111111,2.0,2.222222222,2.666666667,2.555555556,2.888888889,1.555555556,1.888888889,2.333333333,2.0,4.111111111,1.777777778,2.333333333,3.222222222
667,2022-10-13T15:20:17Z,1920,1080,9.333,112852,6746.0,2599,popular,0,0,0,1,0,0,0,0,86.1328125,0.01649341,1868.006455,181.422239,30.50170213,5.001350712,0.068634331,0.321440051,0.32977367,2.464373728,0.091307609,39.34615385,0.115384615,0.003336187,1.061961538,15.9625,8.313,5.676269231,2.390230769,24.83603846,10,3.527173117,3.8,4.223529412,3.376470588,3.680672269,4.078431373,12.2197,5_50,3.4,3.0,2.0,2.8,4.6,3.7,4.6,3.4,4.0,3.1,3.8,4.1,4.5,3.9,5.7,4.0,4.0
681,2022-12-08T16:17:42Z,1333,750,9.869,805344,143869.0,1052,popular,0,1,0,0,0,0,1,0,107.6660156,0.099307626,2705.277728,95.11288464,106.862,6.311974913,0.274319618,0.405309555,0.245718892,0.709291722,0.202654778,37.0,0.25,0.020958561,0.470166667,0.889416667,4.590916667,0.78425,33.62808333,28.0235,9,3.479922318,3.215686275,3.323529412,3.18487395,2.161764706,4.058823529,95.0265,5_63,3.222222222,2.888888889,1.444444444,3.111111111,3.555555556,3.111111111,3.333333333,3.333333333,2.222222222,2.555555556,3.888888889,3.333333333,3.111111111,4.333333333,3.888888889,3.888888889,3.444444444
690,2021-09-10T15:56:29Z,1137,640,9.033,1807036,151065.0,549,popular,0,0,0,0,0,0,1,0,117.4538352,0.12652275,2247.310829,104.6400579,63.66413043,7.487232942,0.530215793,0.110705192,0.996346729,1.328462305,0.210339865,26.42307692,0.269230769,0.011902827,2.951846154,1.221769231,0.365730769,17.51380769,5.265307692,15.75357692,9,3.351076694,3.54248366,3.988235294,2.985294118,2.794117647,4.141176471,195.865,5_71,3.111111111,2.555555556,1.555555556,2.444444444,2.555555556,3.888888889,4.777777778,3.777777778,3.666666667,4.222222222,3.444444444,3.666666667,3.222222222,4.777777778,4.0,4.444444444,4.111111111
701,2022-01-25T11:47:54Z,1333,750,22.866,27,16.0,2,unpopular,0,1,0,0,0,0,0,0,129.1992188,0.149624184,2501.45112,119.2775396,38.47826087,4.452756595,0.043912468,0.437330534,0.09854515,0.0,0.0,,,,,,,,,,8,3.77859755,2.786764706,3.455882353,2.117647059,3.794117647,2.450980392,0.0045,5_81,3.125,2.625,1.875,2.375,2.375,2.75,3.0,2.875,2.75,3.0,2.875,2.75,2.5,4.125,3.0,2.5,2.875
708,2023-03-21T19:46:46Z,1333,750,20.016,12545,1048.0,25,unpopular,0,0,0,0,0,1,0,0,112.3471467,0.156804204,2182.871312,89.42732693,121.5407,6.798239132,0.239665137,0.24980016,0.197841717,0.599520384,0.044131362,42.875,0.0,0.028663959,10.2855,0.64925,1.34325,0.8025,2.13325,6.80475,9,3.789566414,3.575163399,4.0,3.453781513,2.735294118,3.81512605,1.3618,5_88,4.222222222,3.666666667,2.0,3.555555556,2.888888889,3.777777778,3.666666667,3.222222222,3.0,2.888888889,3.888888889,4.222222222,3.777777778,4.333333333,3.333333333,3.666666667,4.666666667
712,2020-03-15T19:39:35Z,937,750,15.0,4436,150.0,17,unpopular,0,0,0,0,0,0,0,1,112.3471467,2.18e-05,2819.729247,189.2663188,92.67893333,7.114703431,0.203596255,0.133333333,0.497777733,0.266666667,0.285,29.3125,0.0625,0.01260432,0.526875,5.7613125,0.5775625,15.6919375,17.022125,15.2918125,9,3.162497622,3.908496732,4.31372549,3.705882353,3.81512605,4.235294118,0.4603,5_91,4.222222222,4.0,1.555555556,4.333333333,2.777777778,4.666666667,4.888888889,5.444444444,3.0,3.222222222,4.0,3.333333333,2.777777778,5.666666667,3.333333333,4.666666667,4.555555556
730,2022-06-30T15:13:57Z,1137,640,125.766,110,47.0,7,unpopular,0,0,0,0,0,0,1,0,117.4538352,0.073472314,3211.520261,157.4020782,51.77589825,6.934249807,0.219067201,0.111317844,0.071163907,0.079512746,0.099231907,24.57936508,1.0,0.266112939,32.49115079,6.679960317,0.5125,6.149150794,0.281285714,11.32725397,8,3.559251086,3.735294118,3.294117647,3.798319328,4.117647059,3.505882353,0.0164,6_107,4.875,4.625,2.25,5.0,3.75,3.375,3.625,4.0,2.0,2.875,4.125,4.375,4.0,3.625,3.875,4.0,3.125
