participant_id,video_id,perceived_msv,age,gender,race,education,income,sen_seek,video_order,gender_female,race_white,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
88,80,5.058823529,23,Male,Asian,3.0,1.0,2.75,8,No,No,1_62,5.0,6.0,1.0,6.0,6.0,5.0,7.0,6.0,1.0,1.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0
88,8,2.823529412,23,Male,Asian,3.0,1.0,2.75,10,No,No,1_105,2.0,1.0,1.0,2.0,6.0,5.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,5.0,5.0
89,75,5.411764706,55,Female,Black or African American,5.0,5.0,3.75,1,Yes,No,1_58,5.0,5.0,3.0,7.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,7.0,6.0,5.0,5.0,7.0,7.0
90,89,1.352941176,28,Male,White or Caucasian,3.0,5.0,3.125,8,No,Yes,1_70,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
91,97,5.058823529,21,Female,White or Caucasian,4.0,1.0,3.125,9,Yes,Yes,1_78,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,1.0,3.0,5.0,5.0,6.0,5.0,6.0,7.0
94,97,6.588235294,35,Female,Asian,3.0,,2.5,6,Yes,No,1_78,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0
94,111,4.294117647,35,Female,Asian,3.0,,2.5,8,Yes,No,1_90,6.0,6.0,2.0,1.0,4.0,2.0,7.0,5.0,4.0,7.0,2.0,6.0,2.0,7.0,2.0,6.0,4.0
94,84,1.411764706,35,Female,Asian,3.0,,2.5,10,Yes,No,1_66,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
95,84,2.882352941,20,Male,Black or African American,2.0,,2.0,7,No,No,1_66,5.0,6.0,1.0,6.0,1.0,3.0,5.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0
96,47,6.764705882,62,Female,White or Caucasian,5.0,6.0,2.75,4,Yes,Yes,1_32,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
97,263,3.705882353,33,Female,White or Caucasian,4.0,4.0,3.5,5,Yes,Yes,2_119,7.0,5.0,1.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0
97,300,3.0,33,Female,White or Caucasian,4.0,4.0,3.5,7,Yes,Yes,2_44,5.0,5.0,1.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0
98,322,2.588235294,55,Female,White or Caucasian,3.0,3.0,1.25,3,Yes,Yes,2_64,3.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,2.0,3.0
98,285,4.882352941,55,Female,White or Caucasian,3.0,3.0,1.25,4,Yes,Yes,2_30,5.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0
99,325,4.941176471,49,Female,White or Caucasian,3.0,1.0,3.375,3,Yes,Yes,2_67,6.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
101,311,3.705882353,33,Male,White or Caucasian,2.0,2.0,1.375,10,No,Yes,2_54,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
102,279,3.058823529,40,Male,"Black or African American,Asian",5.0,6.0,1.625,5,No,No,2_25,5.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0
104,350,5.176470588,37,Female,White or Caucasian,5.0,,2.625,1,Yes,Yes,2_9,7.0,7.0,1.0,6.0,6.0,6.0,2.0,6.0,4.0,1.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0
